regime,model,mean,std,count
grande,autogluon_default,0.8458,0.1059,13
grande,autogluon_extreme,0.8467,0.1052,13
grande,catboost,0.8353,0.1085,13
grande,lightgbm,0.8356,0.1083,13
grande,mambular,0.8105,0.1061,12
grande,xgboost,0.8372,0.1081,13
medio,autogluon_default,0.8772,0.0984,14
medio,autogluon_extreme,0.8791,0.1016,14
medio,catboost,0.8755,0.096,14
medio,lightgbm,0.8714,0.0989,14
medio,mambular,0.8524,0.103,12
medio,xgboost,0.8724,0.096,14
pequeno,autogluon_default,0.8723,0.1174,3
pequeno,autogluon_extreme,0.8803,0.1114,3
pequeno,catboost,0.8801,0.1125,3
pequeno,lightgbm,0.8652,0.1259,3
pequeno,mambular,0.806,0.0611,2
pequeno,xgboost,0.8699,0.1214,3
